,question,answers
41,"Who wrote the song ""Payphone""?","The song was written by Maroon 5's lead singer Adam Levine, along with Ammar Malik, Robopop, Benny Blanco, Shellback, and Wiz Khalifa, while production was helmed by Blanco and Shellback."
42,What is the English transliteration of ????,Zuiquan (???) – Drunken Fist/Boxing
43,When was Buena Vista street open to the public?,"Buena Vista Street was opened to the public on June 15, 2012."
44,Which planets have aurooras been observed on?,These auroras have also been observed on Venus and Mars.
45,What is the day of giver-of-light Saint Lucia?,"The day of giver-of-light Saint Lucia, 13 December, is widely acknowledged in elaborate celebrations which betoken its Italian origin and commence the month-long Christmas season.6 June is the National Day of Sweden and has since 2005 been a public holiday."
46,"Which company protested ""Dexter"" reruns on CBS?","When U.S. network CBS publicly announced in December 2007 that it was considering ""Dexter"" for broadcast reruns, the Parents Television Council (PTC) protested the decision."
47,Which two medications are twain in late clinical trials?,"Two other drugs, trastuzumab emtansine and brentuximab vedotin, are both in late clinical trials, and the latter has been granted accelerated approval for the treatment of refractory Hodgkins lymphoma and systemic anaplastic large cell lymphoma."
48,How do DNA sequences work in bacteria?,"In bacteria, this overlap may be involved in the regulation of gene transcription, while in viruses, overlapping genes increase the amount of information that can be encoded within the small viral genome."
49,What rices have been found to inhibit the progression of atherosclerotic plaque development?,"Red or black rice consumption was found to reduce or retard the progression of atherosclerotic plaque development, induced by dietary cholesterol, in mammals."
50,When was the Lord of The Rings published?,"Although ""The Lord of the Rings"" was published in the 1950s, Tolkien insisted that the One Ring was not an allegory for the Atomic Bomb, nor were his works a strict allegory of any kind, but were open to interpretation as the reader saw fit."
51,The Grey's Anatomy Show was removed for a tenth season on what date?,"The show was renewed for a tenth season on May 10, 2013."
52,How many ethnic groups make up china?,"China officially recognizes 56 distinct ethnic groups, the largest ofwhich are the Han Chinese, who constitute about 91.51% of the totalpopulation."
53,"Who wrote the 1961 novel on which the film ""Wake in Fright"" was based?","A film version of ""Wake in Fright"", based on the 1961 novel by Kenneth Cook, was linked with the actor Dirk Bogarde and the director Joseph Losey as early as 1963."
54,Which year was previous experiment in DNA published in?,A prior experiment was published in August 2012.
55,When was the MRA founded?,"It was founded in 1924 in New York as Metropolitan Racquets Association, or MSRA."
56,What is chiaroscuro?,"In this way he was able to introduce more ""chiaroscuro"" (light and dark) in his drawing, which he executed with the natural ('mountain') chalk that Theo had sent him and whose properties he lauds in his letters."
57,When did Enda Kenny assume the office of Taoiseach?,Enda Kenny assumed the office of Taoiseach on 9 March 2011.
58,How does natural astrology differ from judicial astrology?,"The influence of the stars was in turn divided into natural astrology, with for example effects on tides and the growth of plants, and judicial astrology, with supposedly predictable effects on people."
59,"How much of the UK's electricity was gas-produced in 2011, percentage-wise?","In 2011, 40% of the UK's electricity was produced by gas, 30% by coal, 19% by nuclear power and 4.2% by wind, hydro, biofuels and wastes."
60,"Where are the most internet users, or the highest internet penetration rate?","There are 3.4 million users of the internet in Singapore, one of the highest internet penetration rates in the world."
61,Where was World War 1 fought?,"The First World War (1914–1918) was fought across Europe, the Middle East, Africa and Asia."
63,The Kid with a Bike got what rating from Peter Bradshaw?,"Upon its March 2012 UK release, Peter Bradshaw gave it (four stars out of 5) and said it ""revive the memory of De Sica's 1948 classic ""Bicycle Thieves""""; it is a ""heartfelt, boldly direct film composed in the social-realist key signature of C major, revisiting the film-makers' classic themes of parenthood, trust and love."
64,Which version of the song 'Jingle Bell Rock' is the most popular around the world?,"""Jingle Bell Rock"" has been performed by many, but Helms' version is the most known in the world."
65,What was the peak position of She Will Be Loved in the UK?,It peaked at #4 in the United Kingdom.
66,"When did ""30 Rock"" receive the Writers Guild of America Award for Best Comedy Series?",The series took home the Writers Guild of America Award for Best Comedy Series in 2008.
67,Muay thai is native to what area?,"""Thai boxing"") is a native form of kickboxing and Thailand's national sport."
68,Is only Spanish spoken in Venezuela?,"Although the country is mostly monolingual Spanish, many languages are spoken in Venezuela."
69,How many of the posts were in an east-west alignment?,Three of the posts (and possibly four) were in an east-west alignment which may have had ritual significance; no parallels are known from Britain at the time but similar sites have been found in Scandinavia.
70,What year did skiing begin in Australlia?,Skiing in Australia began in the 1860s and snow sports take place in the Australian Alps and parts of Tasmania.
71,What are some characteristics of tourmaline?,"The tourmaline is mostly black in color, and the majority of it exists as optically continuous skeletal crystals, but much larger, euhedral pegmatitic tourmaline crystals can also be found in the mountain's numerous, cross-cutting felsic dikes."
72,What rating was given to the pilot of the show Glee?,"The pilot episode of ""Glee"" averaged 9.62 million viewers, and the following eleven episodes attained between 6.10 and 7.65 million."
73,"What year did filming begin of the Mexican adaptation of ""Gossip Girl""?","Filming of the Mexican adaptation began in January 2013 with the series set to air in July 5, 2013 on Televisa."
75,What causes properly processed chocolate to have a nice sheen and crisp bite?,The uniform sheen and crisp bite of properly processed chocolate are the result of consistently small cocoa butter crystals produced by the tempering process.
76,What is the facts of the English Common Law?,"The essence of English common law is that it is made by judges sitting in courts, applying legal precedent (""stare decisis"") to the facts before them."
77,Why are the dialects spoken in Scania influenced by Danish?,"The dialects spoken in Scania, the southernmost part of the country, are influenced by Danish because the region traditionally was a part of Denmark and is nowadays situated closely to it."
78,Which Portestant denomination is the biggest in Greece?,Independent Free Apostolic Church of Pentecost is the biggest Protestant denomination in Greece with 120 churches.
79,How many other countries hold more patents than Sweden?,"As a nation, only ten other countries hold more patents than Sweden."
80,Name one way of winning in a Greco-Roman wresting Match.,Pinning one's opponent to the mat is one way of winning.
81,When was the mounting point of the plaque changed?,"Until the 1986 renovation, it was mounted inside the pedestal; today it resides in the Statue of Liberty Museum in the base."
82,What does PPN stand for?,A protoplanetary nebula (PPN) is an astronomical object which is at the short-lived episode during a star's rapid stellar evolution between the late asymptotic giant branch (LAGB) phase and the following planetary nebula (PN) phase.
83,When was Enchanted Forest opened?,"This portion of the New Fantasyland officially opened on December 6, 2012."
84,Why did a part of the wall fall in August 2012 in Hebei?,"In August 2012, a section of the wall in north China's Hebei province collapsed after days of continuous heavy rains."
85,Which style of microscope is used the most?,The most common type of microscope (and the first invented) is the optical microscope.
86,How is the fajita brought to the table?,"In many restaurants, the fajita meat is brought to the table sizzling loudly on a metal platter or skillet, with the tortillas and condiments."
87,When is the derivative zero?,"At the critical point, this derivative is zero, leading to large fluctuations."
88,Call Me Maybe was written by who?,"The song was written by Jepsen and Tavish Crowe as a folk song, but its genre was modified to pop following the production by Josh Ramsay."
89,Who urges Curt & Jules to have sex outside?,"Leaving Dana, Holden, and Marty behind with the book, Curt and Jules retire outside – where Hadley successfully induces them to have sex."
90,Can yeasts grow food that has a low PH?,"Yeasts are able to grow in foods with a low pH (5.0 or lower) and in the presence of sugars, organic acids, and other easily metabolized carbon sources."
91,How many ovaries are berries created from?,Berries are another type of fleshy fruit; they are simple fruit created from a single ovary.
92,How many people play netball according to the INF?,"According to the INF, netball is played by more than 20 million people in more than 80 countries."
94,What was the Lady with an Ermine,Its previous colour was a bluish grey.
95,"Who was the start of The Amazing Race 21 Episode ""We Was Robbed""?"," ""We Was Robbed (Moscow, Russia)"" – ""James"" "
97,How can antisense RNA bind to mRNA?,"One way antisense RNA can act is by binding to an mRNA, forming double-stranded RNA that is enzymatically degraded."
98,How long is the director's cut of Das Boot?, 208 minutes (1997) Director's Cut
99,How many revisions did the heads of the crouching figure undergo?,The heads of the crouching figure underwent at least two revisions from an Iberian figure to its current state.
100,What is pho?,A dish consisting of small slices of rice cake boiled with beef.
101,Terminator salvation was originally named what?,"The film's original title was ""Terminator Salvation: The Future Begins"", but this was dropped during filming."
102,What country is depicted in The Starry Night?,"Painted in June 1889, it depicts the view outside of his sanitarium room window at Saint-Rémy-de-Provence (located in southern France) at night, although it was painted from memory during the day."
103,Who was Dominique De Villepin?,"This position was exemplified by French Foreign Minister Dominique de Villepin, who responded to U.S. Secretary of State Colin Powell's 5 February 2003 presentation to the U.N Security Council by saying that: ""Given the choice between military intervention and an inspections regime that is inadequate because of a failure to cooperate on Iraq's part, we must choose the decisive reinforcement of the means of inspections."
104,why do trace and soho telescopes use special mirrors?,"Telescopes such as TRACE and SOHO use special mirrors to reflect Extreme ultraviolet, producing higher resolution and brighter images then otherwise possible."
105,What type of ride is The Simpsons ride?,The Simpsons Ride is a family simulator ride located next to the entrance to the Studio Tour ride.
106,How did Edie Falco describe her own performance in Nurse Jackie after winning the Emmy for Best Actress in a Comedy Series?,"Later, while speaking to the press, she expanded upon her statement and said that she too felt her performance was dramatic."
107,In what way did Cyril find out that her father sold his bike?,"Later, through an old personal ad, Cyril discovers that his father actually sold his bike."
108,During what decade was the song most played?,"He called it a ""catchy, colossal ballad that succeeds without any fireworks"".UK music licensing body PPL announced in December 2009 that ""Chasing Cars"" was the most played song of the decade."
109,What Latin word is quantum derived from?,"The word ""quantum"" comes from the Latin ""quantus"", for ""how much""."
110,The Nigerian Military was charged with what?,"The Nigerian Military are charged with protecting The Federal Republic of Nigeria, promoting Nigeria's global security interests, and supporting peacekeeping efforts especially in West Africa."
111,When were seasons 3 and 4 of Rules of Engagement launched?,Seasons three and four were both mid-season entries launched in March 2009 and March 2010.
112,What are arepas most commonly filled with?,Breakfast egg or cheese are the most common arepa fillings.
113,What's been the life expectancy growth since 1960?,"Since 1960, life expectancy has, in line with the European average, grown by two months per year."
114,"Who was behind the quote, “You cannot write a song any better than that, because that's how this kind of thing happens in real life”?","He concluded, ""You cannot write a song any better than that, because that's how this kind of thing happens in real life."""
115,"Why did Fincher argue the placement of ""Fight Club"" ads during World Wrestling Federation broadcasts?","The studio advertised ""Fight Club"" on cable during World Wrestling Federation broadcasts, which Fincher protested, believing that the placement created the wrong context for the film."
116,What was the metascore for 'The Usual Suspect'?,"""The Usual Suspects"" was well received by most critics, and it has an 88% rating at Rotten Tomatoes and a 77 metascore on Metacritic."
117,What year did YenYen make a claim about other countries stealing their food?,"In September 2009, Ng Yen Yen, Malaysia's Tourism Minister, controversially claimed that, among other dishes, that ""Chilli crab is Malaysian"", accusing ""other countries"" of ""hijacking our food""."
118,What games did Katy Perry's Stronger appear in?,"It was also featured in a playable piece in the Harmonix video game ""Rock Band Blitz"", ""Rock Band 3"" and ""Dance Central 3""."
119,What was saussage casing originally made from?,"Traditionally, sausage casings were made of the cleaned intestines, or stomachs in the case of haggis and other traditional puddings."
120,How many Jehovah's Witnesses were killed?,"Between 2,500 and 5,000 were killed."
121,"Of the total film revenues of France, what percentage of films are french films ?","French films account for 35% of the total film revenues of France, which is the highest percentage of national film revenues in the developed world outside the United States, compared to 14% in Spain and 8% in the UK."
122,"What album is the soung ""Counting Stars"" from?","""Counting Stars"" is a song by American pop rock band OneRepublic from their third studio album, ""Native"" (2013)."
123,"For the Gangnam Style music video, what percentage (rating) did the readers of the 2012 Billboard.com readers poll give it?","The music video came in first with 21% rating in the 2012 Billboard.com's readers poll, beating ""Where Have You Been"" by Rihanna (19%) and ""Beauty and a Beat"" by Justin Bieber featuring Nicki Minaj (11%)."
124,What two tools are used to harvest cereal crops in developing countries?,"In developing countries, a variety of harvesting methods are in use, depending on the cost of labor, from combines to hand tools such as the scythe or cradle."
125,Who was behind the creation of the Reich Central Office for Combating Homosexuality and Abortion?,"In 1936, Himmler created the Reich Central Office for the Combating of Homosexuality and Abortion."
126,In which country were telescopes invented?,"The first known practical telescopes were invented in the Netherlands at the beginning of the 17th century, using glass lenses."
127,In what country is Avocado regarded as a fruit?,"For example, in Brazil the avocado is traditionally consumed with sugar as a dessert or in milkshakes, and hence it is regarded as a culinary fruit; whereas in other countries (including Mexico and the United States) it is used in salads and dips, and hence considered to be a vegetable."
128,During which years were Americans alone?,"The French army and navy departed, so the Americans were on their own in 1782–83."
129,Tomatoes were ruled as vegetable in what court case?,"The court ruled unanimously in ""Nix v. Hedden"" that a tomato is correctly identified as, and thus taxed as, a vegetable, for the purposes of the Tariff of 1883 on imported produce."
131,What is Indonesia and where is it?,"Indonesia ( or ), officially the Republic of Indonesia ( ), is a sovereign state in Southeast Asia and Oceania."
132,"Where was the song ""Starships"" by Nicki Minaj Recorded at?","Recorded at Kinglet Studios, Stockholm, Sweden, and Conway Recording Studios, Hollywood, California, United States"
133,10 provinces and 3 territories comprise what nation?,Canada is a country in North America consisting of 10 provinces and 3 territories.
134,"Where does ""Free Bird"" rank on Rolling Stone's 500 Greatest Songs of All Time?","""Free Bird"" is included in The Rock and Roll Hall of Fame's 500 Songs that Shaped Rock and Roll, and at number 193 in Rolling Stone's 500 Greatest Songs of All Time."
135,How long has the Holocene lasted?,"The present interglacial period (the Holocene) has lasted about 11,700 years."
136,How long are the quarters in High Five Netball?,High Five Netball has four six-minute quarters.
137,Which state was the first to introduce universal health insurance?,"In 2006, Massachusetts became the first state to mandate universal health insurance."
138,What percentage of Peru residents live in urban areas in 2007?,"As of 2007, 75.9% lived in urban areas and 24.1% in rural areas."
139,How many of England's universities are public?,"There are over 90 universities in England, all but one of which are public."
140,How many people viewed the pilot of Friends?,"The pilot aired between ""Mad About You"" and ""Seinfeld"", and was watched by almost 22 million American viewers."
141,What out of control factors influenced the German defeat at Normandy?,Communications problems exacerbated the difficulties caused by Allied air and naval firepower.
142,Who was the cosmonaut that wrote about a difficult period onboard the Salyut 6?,"Cosmonaut Valery Ryumin, wrote in his journal during a particularly difficult period onboard the Salyut 6 space station: “All the conditions necessary for murder are met if you shut two men in a cabin measuring 18 feet by 20 and leave them together for two months.”NASA's interest in psychological stress caused by space travel, initially studied when their manned missions began, was rekindled when astronauts joined cosmonauts on the Russian space station Mir."
143,In what format is the album Party Rock Anthem available?,;Download
144,When did Life is Beautiful win an award for Best Music?,"At the 71st Academy Awards, the film won awards for Best Music, Original Dramatic Score, and Best Foreign Language Film, with Benigni winning Best Actor for his role."
145,Was the opening of the Sydney Opera House broadcast on television?,The opening was televised and included fireworks and a performance of Beethoven's Symphony No.
146,What does the second season explore?,"The second season mainly explores the senior year of the characters with the premiere at the Hamptons and primarily focused on the relationship between Blair and Chuck, who were labeled ""the heart of ""GG"""" by ""People"" magazine."
147,"What awards did ""How to Survive a Plague"" receive?","""How to Survive a Plague"" received awards for best documentary of 2012 from the Gotham Independent Film Awards and from the Boston Society of Film Critics."
148,Does yogurt contain a large amount of protein?,"Yogurt is nutritionally rich in protein, calcium, riboflavin, vitamin B6 and vitamin B12."
149,What do Japanese call yellowtail,"Commonly used fish are tuna (""maguro, shiro-maguro""), Japanese amberjack, yellowtail (""hamachi""), snapper (""kurodai""), mackerel (""saba""), and salmon (""sake"")."
150,When was the date of the Battle of the Beanfield?,"After the Battle of the Beanfield in 1985, this use of the site was stopped for several years and ritual use of Stonehenge is now heavily restricted."
151,In what year was a competition for women introduced?,"A competition for women was introduced at the 2000 Olympic Games in Sydney, Australia."
152,What does placing the fins closer to the centre of the wakeboard do?,"The closer the fins are placed towards the centre of the wakeboard, the quicker and better the wakeboard releases from the wake."
154,What was the date of Masaru Shintani's death?,"Shintani died May 7, 2000."
155,"In which regions was season one released on April 4, 2011?","Season One was released in the UK (Region 2 DVD) on April 4, 2011."
156,Did Gilmore girls recieve an AFIA award?,"""Gilmore Girls"" received an American Film Institute Award and two Viewers For Quality Television Awards, and was named New Program of the Year by the Television Critics Association."
157,"When was the ""The Originals"" premiere?","""The Originals"" premiered on October 3, 2013."
158,How do you explain image guided radiation therapy?,Another technique is the real-time tracking and localization of one or more small implantable electric devices implanted inside or close to the tumor.
159,What does FEL stand for?,"In the free-electron laser (FEL), a relativistic electron beam passes through a pair of undulators that contain arrays of dipole magnets whose fields point in alternating directions."
160,When was the music video for Counting Stars filmed?,"The music video was filmed on May 10, 2013, in New Orleans, Louisiana, and premiered on May 31, 2013."
161,To who did the Germans surrender on May 8th 1945?,"This led to a chain of Soviet victories which pushed the Germans back to Berlin in just one year, leading to the surrender of Germany on 8 May 1945."
162,Who watches Bathsheba bath?,"Bathsheba at her Bath is the formal name for the subject in art showing Bathsheba bathing, watched by King David."
163,What type of cuisine are fajitas?,"A fajita (; ) is a term found in Tex-Mex cuisine, commonly referring to any grilled meat usually served as a taco on a flour or corn tortilla."
164,The FIFA headquarters are in what location?,The FIFA headquarters are located in Zurich.
166,Which Supreme Court case focuses on the Louisiana Purchase?,"The question is discussed at length in the article on Aboriginal title in the United States, as well as in articles on the American Indian Wars and the U.S. Supreme Court case ""Johnson v. M'Intosh""."
167,Are three sided footballs used?, Three sided football
168,What did the Mexican Tetra lose during it's evolution?,"For example, the mexican tetra is an albino cavefish that lost its eyesight during evolution."
169,When was it proposed that electricity and magnetism were distinct effects by scientists William Gilbert?,"The scientist William Gilbert proposed, in his ""De Magnete"" (1600), that electricity and magnetism, while both capable of causing attraction and repulsion of objects, were distinct effects."
171,Teen Wolf was released by which company ?,"Although the film was a modest hit for Atlantic Releasing Corporation, the film's critical reception was at best mixed."
172,What model would an astrophysicist use to study come phenomena and unseen effects?,Numerical models can reveal the existence of phenomena and effects that would otherwise not be seen.
173,What year was the Lion King released in theataers for the first time?,The Lion King is a 1994 American animated musical adventure film produced by Walt Disney Feature Animation and released by Walt Disney Pictures.
174,The meaning of pain perdu is what in English?,"In France, Belgium, New Orleans, Acadiana and the Congo, French toast is called ""pain perdu"", which means ""lost bread"" in French."
175,The atomic nucleus of helium-4 is composed of how many protons and how many neutrons?,"For example, a proton is made of two up quarks and one down quark, while the atomic nucleus of helium-4 is composed of two protons and two neutrons."
176,During which part of the game is the middle line used?,The middle line of the front wall is the service line and is only relevant during serves.
177,How many points does a free throw earn a team?,"One point is awarded for making a free throw, which is attempted from a line from the basket."
178,Who won the Single of the Year at the ARIA Music Awards of 2011?,"At the ARIA Music Awards of 2011, ""Somebody That I Used To Know"" won Single of the Year, Best Pop Release, Best Video (for Natasha Pincus), Engineer of the Year (for François Tétaz) and Producer of the Year (for Gotye)."
179,Who helped the widow Tampogo with her ramen shop?,"Two truck drivers, Goro and Gun (Tsutomu Yamazaki and Ken Watanabe), help the widowed Tampopo (Nobuko Miyamoto) with her failing ramen shop."
180,Where were the exteriors above the prison filmed?,"Exteriors above the prison were filmed in Jodhpur, India, chosen because the ""forbidding landscape added to the desolation""."
181,what is for sale in mexican juice bars?,Mexican juice bars will often sell healthy beverages and snacks that are popular in Mexico.
182,What city was Sexy and I know it by LMFAO filmed in?,"The music video for ""Sexy and I Know It"" was filmed in Venice, California, and uploaded on LMFAO's YouTube channel on September 16, 2011."
183,What was the world's reaction to the assassination?,The assassination evoked stunned reactions worldwide.
184,What is the broth used in Udon made of?,The broth is soy sauce–based like Japanese udon.
185,What instrument did Will Ferrell play?,Ferrell also played Cowbell.
186,What rare materials are needed for life on earth?,"Most rare elements on Earth are not needed by life (exceptions being selenium and iodine), while a few common ones (aluminum and titanium) are not used."
188,Where is the USPHC held?,"Since 2006, the U.S. Pond Hockey Championships have been played in Minneapolis, Minnesota, and the Canadian National Pond Hockey Championships have been played in Huntsville, Ontario."
189,How many people does the Grand Bazaar employ today?,"Today the Grand Bazaar is a thriving complex, employing 26,000 people visited by between 250,000 and 400,000 visitors daily, and one of the major landmarks of Istanbul."
190,What makes a molecule amphiphilic?,This makes them amphiphilic molecules (having both hydrophobic and hydrophilic portions).
191,"What was the premiere date of ""Last Man Standing""?","The series premiered on October 11, 2011."
192,What year did Andy Warhol move to New York City?,"In 1949, he moved to New York City and began a career in magazine illustration and advertising."
193,When the Europeans develop a taste for Tea?,"As Europeans developed a taste for tea in the 17th century, rival companies were formed to import the product from China."
194,"What is the duration of the song ""Bronte""?"," ""Bronte"" – 3:13"
195,"What is the name of the woman that taught the oboe in the ""small, rather stuffy music room"" in the same basement that Lennon and McCartney used to compose 'I Want to Hold Your Hand'?","Margaret Asher taught the oboe in the ""small, rather stuffy music room"" in the basement where Lennon and McCartney sat at the piano and composed 'I Want to Hold Your Hand'."
196,In what way did the parody in Mulan appear?,"The painting and its process of creation was parodied in a ""Saturday Night Live"" episode, which aired November 10, 2012, with host Anne Hathaway as Nan Wood Graham, Jason Sudeikis as Dr. Byron McKeeby, Tarran Killam as Grant Wood, and Kenan Thompson as a tour guide at The Art Institute of Chicago."
197,"According to the INF, how many netball players are there in the world?","According to the INF, netball is played by more than 20 million people in more than 80 countries."
198,Who directed Forest Gump?,"The film was directed by Robert Zemeckis and starred Tom Hanks, Robin Wright, Gary Sinise and Sally Field."
199,Who is the railway network managed by?,"The railway network is managed by the REFER while the transport of passengers and goods are the responsibility of Caminhos de Ferro Portugueses (CP), both public companies."
200,What date did North Korea say that it's not following the North-South declaration on non-aggression?,"On 13 March 2013, North Korea confirmed it ended the 1953 Armistice and declared North Korea ""is not restrained by the North-South declaration on non-aggression."""
201,"What year was a live of version of ""Wake Me Up When September Ends"" recorded in?","A live version of the song, recorded on September 3, 2005, at Gillette Stadium in Foxborough, Massachusetts was released soon after and dedicated to the hurricane's victims."
202,How many roles do molucules of chemical substances that constutute food play?,"In this process, molecules of chemical substances that constitute food play two roles; first, they contain energy that can be transformed for biological chemical reactions; second, they develop new molecular structures made up of biomolecules."
203,What year did George Michael get cleared of his charge.,In 2010 George Michael was publicly cleared of all charges.
204,"On what day was the ""Let It Be"" album released?",It was released on 8 May 1970 by the band's Apple Records label shortly after the group announced their break-up.
205,Name a written source that is suggested to have inspired van Gogh in this work?,"The ""literal"" includes both ""he painted what he saw"" and the ""hallucinatory genius"" arguments (as an individual's hallucinations are indistinguishable from real life) while the ""literary"" suggest that inspiration blossomed from some written source; most often cited for van Gogh's ""Starry Night"" are The Bible, Walt Whitman and Victor Hugo."
206,At the point when did the Emporer advise the family he was surrendering?,"""On August 12, the Emperor informed the imperial family of his decision to surrender."
207,When did the United States first win the rugby union?,"In 1920, the United States, fielding a team with many players new to the sport of rugby, upset France in a shock win, eight points to zero."
208,The Spartacist uprising happened when?,"Many leaders of German leftist groups were Jews, and Jews were especially prominent among the leaders of the Spartacist uprising in 1919."
209,What does a match consist of?,A match shall consist of the best of any odd number of games.
210,Who invented the hamburger?,"One of the earliest claims comes from Charlie Nagreen, who in 1885 sold a meatball between two slices of bread at the Seymour Fair now called theOutagamie County Fair in some attributions."
211,How can one assist the precipitation process?,This process can be assisted by adding a precipitating agent or by removal of the solvent.
212,What made the lion kning worth seeing in theatres?,The digital surround sound of the film led many of those theater to implement Dolby Laboratories' newest sound systems.
214,Which City is the largest financial center in Europe?,"London is the largest financial centre in Europe, and is also the largest in the world."
